,Date,Home Team,Away Team,Home Score,Away Score,Tournament,City,Country,Neutral,Outcome,Winning Team,Losing Team,Total Goals,Year,Decade,Month,Month Name,Day of Week
3237,1951-05-20,Belgium,Scotland,0,5,Friendly,Brussels,Belgium,False,A,Scotland,Belgium,5,1951,1950,5,May,Sunday
3279,1951-10-06,Northern Ireland,Scotland,0,3,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,3,1951,1950,10,October,Saturday
3341,1952-04-30,Scotland,United States,6,0,Friendly,Glasgow,Scotland,False,H,Scotland,United States,6,1952,1950,4,April,Wednesday
3352,1952-05-25,Denmark,Scotland,1,2,Friendly,Copenhagen,Denmark,False,A,Scotland,Denmark,3,1952,1950,5,May,Sunday
3401,1952-10-18,Wales,Scotland,1,2,British Championship,Cardiff,Wales,False,A,Scotland,Wales,3,1952,1950,10,October,Saturday
3555,1953-10-03,Northern Ireland,Scotland,1,3,FIFA World Cup qualification,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,4,1953,1950,10,October,Saturday
3635,1954-05-05,Scotland,Norway,1,0,Friendly,Glasgow,Scotland,False,H,Scotland,Norway,1,1954,1950,5,May,Wednesday
3648,1954-05-25,Finland,Scotland,1,2,Friendly,Helsinki,Finland,False,A,Scotland,Finland,3,1954,1950,5,May,Tuesday
3724,1954-10-16,Wales,Scotland,0,1,British Championship,Cardiff,Wales,False,A,Scotland,Wales,1,1954,1950,10,October,Saturday
3780,1955-05-04,Scotland,Portugal,3,0,Friendly,Glasgow,Scotland,False,H,Scotland,Portugal,3,1955,1950,5,May,Wednesday
3788,1955-05-19,Austria,Scotland,1,4,Friendly,Vienna,Austria,False,A,Scotland,Austria,5,1955,1950,5,May,Thursday
3874,1955-11-09,Scotland,Wales,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,2,1955,1950,11,November,Wednesday
4065,1956-11-07,Scotland,Northern Ireland,1,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,1,1956,1950,11,November,Wednesday
4076,1956-11-21,Scotland,Yugoslavia,2,0,Friendly,Glasgow,Scotland,False,H,Scotland,Yugoslavia,2,1956,1950,11,November,Wednesday
4152,1957-05-08,Scotland,Spain,4,2,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Spain,6,1957,1950,5,May,Wednesday
4161,1957-05-19,Switzerland,Scotland,1,2,FIFA World Cup qualification,Basel,Switzerland,False,A,Scotland,Switzerland,3,1957,1950,5,May,Sunday
4162,1957-05-22,Germany,Scotland,1,3,Friendly,Stuttgart,Germany,False,A,Scotland,Germany,4,1957,1950,5,May,Wednesday
4295,1957-11-06,Scotland,Switzerland,3,2,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Switzerland,5,1957,1950,11,November,Wednesday
4367,1958-06-01,Poland,Scotland,1,2,Friendly,Warsaw,Poland,False,A,Scotland,Poland,3,1958,1950,6,June,Sunday
4449,1958-10-18,Wales,Scotland,0,3,British Championship,Cardiff,Wales,False,A,Scotland,Wales,3,1958,1950,10,October,Saturday
4525,1959-05-06,Scotland,Germany,3,2,Friendly,Glasgow,Scotland,False,H,Scotland,Germany,5,1959,1950,5,May,Wednesday
4543,1959-05-27,Netherlands,Scotland,1,2,Friendly,Amsterdam,Netherlands,False,A,Scotland,Netherlands,3,1959,1950,5,May,Wednesday
4592,1959-10-03,Northern Ireland,Scotland,0,4,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,4,1959,1950,10,October,Saturday
4844,1960-11-09,Scotland,Northern Ireland,5,2,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,7,1960,1960,11,November,Wednesday
4923,1961-05-03,Scotland,Republic of Ireland,4,1,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Republic of Ireland,5,1961,1960,5,May,Wednesday
4925,1961-05-07,Republic of Ireland,Scotland,0,3,FIFA World Cup qualification,Dublin,Republic of Ireland,False,A,Scotland,Republic of Ireland,3,1961,1960,5,May,Sunday
4995,1961-09-26,Scotland,Czechoslovakia,3,2,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Czechoslovakia,5,1961,1960,9,September,Tuesday
5005,1961-10-07,Northern Ireland,Scotland,1,6,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,7,1961,1960,10,October,Saturday
5040,1961-11-08,Scotland,Wales,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,2,1961,1960,11,November,Wednesday
5099,1962-04-14,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,2,1962,1960,4,April,Saturday
5245,1962-10-20,Wales,Scotland,2,3,British Championship,Cardiff,Wales,False,A,Scotland,Wales,5,1962,1960,10,October,Saturday
5265,1962-11-07,Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,6,1962,1960,11,November,Wednesday
5393,1963-04-06,England,Scotland,1,2,British Championship,London,England,False,A,Scotland,England,3,1963,1960,4,April,Saturday
5422,1963-05-08,Scotland,Austria,4,1,Friendly,Glasgow,Scotland,False,H,Scotland,Austria,5,1963,1960,5,May,Wednesday
5446,1963-06-13,Spain,Scotland,2,6,Friendly,Madrid,Spain,False,A,Scotland,Spain,8,1963,1960,6,June,Thursday
5535,1963-11-07,Scotland,Norway,6,1,Friendly,Glasgow,Scotland,False,H,Scotland,Norway,7,1963,1960,11,November,Thursday
5550,1963-11-20,Scotland,Wales,2,1,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,3,1963,1960,11,November,Wednesday
5614,1964-04-11,Scotland,England,1,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,1,1964,1960,4,April,Saturday
5734,1964-10-21,Scotland,Finland,3,1,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Finland,4,1964,1960,10,October,Wednesday
5762,1964-11-25,Scotland,Northern Ireland,3,2,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,5,1964,1960,11,November,Wednesday
5900,1965-05-27,Finland,Scotland,1,2,FIFA World Cup qualification,Helsinki,Finland,False,A,Scotland,Finland,3,1965,1960,5,May,Thursday
6056,1965-11-09,Scotland,Italy,1,0,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Italy,1,1965,1960,11,November,Tuesday
6084,1965-11-24,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,5,1965,1960,11,November,Wednesday
6381,1966-11-16,Scotland,Northern Ireland,2,1,UEFA Euro qualification,Glasgow,Scotland,False,H,Scotland,Northern Ireland,3,1966,1960,11,November,Wednesday
6546,1967-04-15,England,Scotland,2,3,UEFA Euro qualification,London,England,False,A,Scotland,England,5,1967,1960,4,April,Saturday
6563,1967-05-16,Israel,Scotland,1,2,Friendly,Ramat-Gan,Israel,False,A,Scotland,Israel,3,1967,1960,5,May,Tuesday
6753,1967-11-22,Scotland,Wales,3,2,UEFA Euro qualification,Glasgow,Scotland,False,H,Scotland,Wales,5,1967,1960,11,November,Wednesday
6993,1968-10-16,Denmark,Scotland,0,1,Friendly,Copenhagen,Denmark,False,A,Scotland,Denmark,1,1968,1960,10,October,Wednesday
7021,1968-11-06,Scotland,Austria,2,1,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Austria,3,1968,1960,11,November,Wednesday
7071,1968-12-11,Cyprus,Scotland,0,5,FIFA World Cup qualification,Nicosia,Cyprus,False,A,Scotland,Cyprus,5,1968,1960,12,December,Wednesday
7171,1969-05-03,Wales,Scotland,3,5,British Championship,Wrexham,Wales,False,A,Scotland,Wales,8,1969,1960,5,May,Saturday
7189,1969-05-17,Scotland,Cyprus,8,0,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Cyprus,8,1969,1960,5,May,Saturday
7528,1970-04-18,Northern Ireland,Scotland,0,1,British Championship,Belfast,Northern Ireland,False,A,Scotland,Northern Ireland,1,1970,1970,4,April,Saturday
7734,1970-11-11,Scotland,Denmark,1,0,UEFA Euro qualification,Glasgow,Scotland,False,H,Scotland,Denmark,1,1970,1970,11,November,Wednesday
8070,1971-10-13,Scotland,Portugal,2,1,UEFA Euro qualification,Glasgow,Scotland,False,H,Scotland,Portugal,3,1971,1970,10,October,Wednesday
